# core	sample	build	run	oracle	sha256	console	note
cm33	tests/kernel/fifo/fifo_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	7889dfacffd9762e21441b0d4c50d5ef9dd702e646421a44d2d572b21c414b9a	console/cm33-tests-kernel-fifo-fifo_api.txt	-
cm33	tests/kernel/queue	OK	PASS	PROJECT EXECUTION SUCCESSFUL	19bc870f4526124c7a6d864eecb4191d5d578d32a19790d8db76dddaab124f28	console/cm33-tests-kernel-queue.txt	-
cm33	tests/kernel/workq/work	OK	PASS	PROJECT EXECUTION SUCCESSFUL	8ee44897ed5e939f3d4580d2da1d4276e77200eb0cc984e1e9395cc280ab5f70	console/cm33-tests-kernel-workq-work.txt	-
cm33	tests/kernel/context	OK	PASS	PROJECT EXECUTION SUCCESSFUL	555351a6bb69100c033fb654ce557caf19dfad4e4f7393608845ab47eaa46710	console/cm33-tests-kernel-context.txt	-
cm33	tests/kernel/mem_slab/mslab	OK	PASS	PROJECT EXECUTION SUCCESSFUL	7234d544faa8e371d467a9823f9908b4040ee665e6829807500bab15363de5d3	console/cm33-tests-kernel-mem_slab-mslab.txt	-
cm33	tests/kernel/pipe/pipe_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	3c71f2d1fc55656e496764882770fc1375a895ec2da38ab85db2602a604995b2	console/cm33-tests-kernel-pipe-pipe_api.txt	-
cm33	tests/kernel/poll	OK	PASS	PROJECT EXECUTION SUCCESSFUL	2d5ee47085dc91daefd611c3e41d755765ef7733c9a1f294239186bae43c77d1	console/cm33-tests-kernel-poll.txt	-
cm33	tests/arch/arm/arm_irq_vector_table	OK	PASS	PROJECT EXECUTION SUCCESSFUL	d12c9486e6727f2a99d6e47562f9feceef93ed089713953db9146779eb5ff14c	console/cm33-tests-arch-arm-arm_irq_vector_table.txt	-
cm33	tests/arch/arm/arm_custom_interrupt	OK	PASS	PROJECT EXECUTION SUCCESSFUL	bfe378dd2125413d899f8de7b27270f49b2a8f1271b0e08fab7cffb3740ffa91	console/cm33-tests-arch-arm-arm_custom_interrupt.txt	-
cm33	tests/arch/arm/arm_runtime_nmi	OK	PASS	PROJECT EXECUTION SUCCESSFUL	5fd4034cf0ab58c4eb75d4659a18bbe6bee75b93810f05251463c414b4c00705	console/cm33-tests-arch-arm-arm_runtime_nmi.txt	-
cm33	tests/kernel/cache	OK	PASS	PROJECT EXECUTION SUCCESSFUL	10e7c134571b3f33e0ba846bf095a720e1e9e1c4e580911b98eaa2425e575c0c	console/cm33-tests-kernel-cache.txt	-
cm33	tests/kernel/cleanup	OK	PASS	PROJECT EXECUTION SUCCESSFUL	a0f902727557e2e3444e135eda1455dc7906f3c7767e01d7dbb5313e31903009	console/cm33-tests-kernel-cleanup.txt	-
cm33	tests/kernel/device	OK	PASS	PROJECT EXECUTION SUCCESSFUL	ec27f94f3f7cbb99f967308cd3d4878199344aa4235c12cb472d49a65dd8d8b8	console/cm33-tests-kernel-device.txt	-
cm33	tests/kernel/early_sleep	OK	PASS	PROJECT EXECUTION SUCCESSFUL	893fda8ea7786d94cd421ccb6894ccdb0605fa4cc82563b285514ddeeb8599a4	console/cm33-tests-kernel-early_sleep.txt	-
cm33	tests/kernel/condvar/condvar_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	56ea397ca6cc0677e6e66af48386228fc20b38bb34edaa1b10178386e18972fb	console/cm33-tests-kernel-condvar-condvar_api.txt	-
